,id,c_percent,lat,lon,alt,site,site_alt,site_alt_id
229,8-4-B,0.6310338501487693,32.4206435514424,-85.4148770000213,-7.5,7,7_B,B
230,8-4-C,0.4468087488443759,32.4206435514424,-85.4148770000213,-12.5,7,7_C,C
231,8-4-D,0.3511618527151461,32.4206435514424,-85.4148770000213,-17.5,7,7_D,D
232,8-4-E,0.3286363071540203,32.4206435514424,-85.4148770000213,-22.5,7,7_E,E
233,8-4-F,0.2610362558704453,32.4206435514424,-85.4148770000213,-27.5,7,7_F,F
234,8-5-A,0.757541012510462,32.4206435514424,-85.4148770000213,-2.5,7,7_A,A
235,8-5-B,0.5362663017074458,32.4206435514424,-85.4148770000213,-7.5,7,7_B,B
236,8-5-C,0.4353532139089848,32.4206435514424,-85.4148770000213,-12.5,7,7_C,C
237,8-5-D,0.4110057329400726,32.4206435514424,-85.4148770000213,-17.5,7,7_D,D
238,8-5-E,0.23478791538493948,32.4206435514424,-85.4148770000213,-22.5,7,7_E,E
239,8-5-F,0.28264231816383056,32.4206435514424,-85.4148770000213,-27.5,7,7_F,F
240,9-1-A,0.8560749118069523,32.4202760680959,-85.4158168052246,-2.5,8,8_A,A
241,9-1-B,0.8777765221781785,32.4202760680959,-85.4158168052246,-7.5,8,8_B,B
242,9-1-C,0.6769148596029257,32.4202760680959,-85.4158168052246,-12.5,8,8_C,C
243,9-1-D,0.6119655130912163,32.4202760680959,-85.4158168052246,-17.5,8,8_D,D
244,9-1-E,0.4419501122587018,32.4202760680959,-85.4158168052246,-22.5,8,8_E,E
245,9-1-F,0.2658151548791406,32.4202760680959,-85.4158168052246,-27.5,8,8_F,F
246,9-2-A,1.6550119171676687,32.4202760680959,-85.4158168052246,-2.5,8,8_A,A
247,9-2-B,0.9560304697195473,32.4202760680959,-85.4158168052246,-7.5,8,8_B,B
248,9-2-C,0.9839550510564112,32.4202760680959,-85.4158168052246,-12.5,8,8_C,C
249,9-2-D,1.2015195723362555,32.4202760680959,-85.4158168052246,-17.5,8,8_D,D
250,9-2-E,0.8224278288410924,32.4202760680959,-85.4158168052246,-22.5,8,8_E,E
251,9-2-F,0.3433968139327589,32.4202760680959,-85.4158168052246,-27.5,8,8_F,F
252,9-3-A,1.0361514141732284,32.4202760680959,-85.4158168052246,-2.5,8,8_A,A
253,9-3-B,0.6705898171932795,32.4202760680959,-85.4158168052246,-7.5,8,8_B,B
254,9-3-C,0.7147741405957984,32.4202760680959,-85.4158168052246,-12.5,8,8_C,C
255,9-3-D,0.60047715993451,32.4202760680959,-85.4158168052246,-17.5,8,8_D,D
256,9-3-E,0.45934865840008776,32.4202760680959,-85.4158168052246,-22.5,8,8_E,E
257,9-3-F,0.4522749503853787,32.4202760680959,-85.4158168052246,-27.5,8,8_F,F
258,9-4-A,0.923264630624509,32.4202760680959,-85.4158168052246,-2.5,8,8_A,A
259,9-4-B,0.5860529480910287,32.4202760680959,-85.4158168052246,-7.5,8,8_B,B
260,9-4-C,0.4295930956316411,32.4202760680959,-85.4158168052246,-12.5,8,8_C,C
261,9-4-D,0.3945422257415571,32.4202760680959,-85.4158168052246,-17.5,8,8_D,D
262,9-4-E,0.42904738178535157,32.4202760680959,-85.4158168052246,-22.5,8,8_E,E
263,9-4-F,0.23956079054187193,32.4202760680959,-85.4158168052246,-27.5,8,8_F,F
264,9-5-A,0.6169034715046693,32.4202760680959,-85.4158168052246,-2.5,8,8_A,A
265,9-5-B,0.37742178360920464,32.4202760680959,-85.4158168052246,-7.5,8,8_B,B
266,9-5-C,0.3383326094224923,32.4202760680959,-85.4158168052246,-12.5,8,8_C,C
267,9-5-D,0.30542894215714383,32.4202760680959,-85.4158168052246,-17.5,8,8_D,D
268,9-5-E,0.3537581161250578,32.4202760680959,-85.4158168052246,-22.5,8,8_E,E
269,9-5-F,0.23869317853112443,32.4202760680959,-85.4158168052246,-27.5,8,8_F,F
270,10-1-A,0.810815073703041,32.419811118133,-85.4160272625068,-2.5,9,9_A,A
271,10-1-B,0.30475892412105543,32.419811118133,-85.4160272625068,-7.5,9,9_B,B
272,10-1-C,0.3222851463829787,32.419811118133,-85.4160272625068,-12.5,9,9_C,C
273,10-1-D,0.260586294945765,32.419811118133,-85.4160272625068,-17.5,9,9_D,D
274,10-1-E,0.2510631966847306,32.419811118133,-85.4160272625068,-22.5,9,9_E,E
275,10-1-F,0.29093770212765957,32.419811118133,-85.4160272625068,-27.5,9,9_F,F
276,10-2-A,1.2703447074280887,32.419811118133,-85.4160272625068,-2.5,9,9_A,A
277,10-2-B,0.719463629564001,32.419811118133,-85.4160272625068,-7.5,9,9_B,B
278,10-2-C,0.4532324152286454,32.419811118133,-85.4160272625068,-12.5,9,9_C,C
279,10-2-D,0.4046981576335507,32.419811118133,-85.4160272625068,-17.5,9,9_D,D
280,10-2-E,0.282330566314151,32.419811118133,-85.4160272625068,-22.5,9,9_E,E
281,10-2-F,0.22336038755790866,32.419811118133,-85.4160272625068,-27.5,9,9_F,F
282,10-3-A,1.2271708280394797,32.419811118133,-85.4160272625068,-2.5,9,9_A,A
283,10-3-B,0.6093248867313915,32.419811118133,-85.4160272625068,-7.5,9,9_B,B
284,10-3-C,0.3687778808954575,32.419811118133,-85.4160272625068,-12.5,9,9_C,C
285,10-3-D,0.5885297433367561,32.419811118133,-85.4160272625068,-17.5,9,9_D,D
286,10-3-E,0.5050806970688388,32.419811118133,-85.4160272625068,-22.5,9,9_E,E
287,10-3-F,0.3508344685900629,32.419811118133,-85.4160272625068,-27.5,9,9_F,F
288,10-4-A,1.3111986641426723,32.419811118133,-85.4160272625068,-2.5,9,9_A,A
289,10-4-B,0.6817334406215775,32.419811118133,-85.4160272625068,-7.5,9,9_B,B
290,10-4-C,0.6472245579492424,32.419811118133,-85.4160272625068,-12.5,9,9_C,C
291,10-4-D,0.42028245465225567,32.419811118133,-85.4160272625068,-17.5,9,9_D,D
292,10-4-E,0.16672437445228544,32.419811118133,-85.4160272625068,-22.5,9,9_E,E
293,10-4-F,0.291171096102225,32.419811118133,-85.4160272625068,-27.5,9,9_F,F
294,10-5-A,0.6920306977207789,32.419811118133,-85.4160272625068,-2.5,9,9_A,A
295,10-5-B,0.6124504512893985,32.419811118133,-85.4160272625068,-7.5,9,9_B,B
296,10-5-C,0.4880968758839628,32.419811118133,-85.4160272625068,-12.5,9,9_C,C
